year,publication,title,keywords
2015,"政治大學企業管理學系","內容行銷對品牌態度與購買意願之影響研究","內容行銷,品牌態度,購買意願,數位行銷"
2016,"台灣大學會計學研究所","內部控制缺失與審計公費之關聯性研究","內部控制,審計公費,審計風險"
2019,"台灣科技大學資訊管理系","資訊安全治理、風險管理與法規遵循(GRC)之整合框架研究","資訊安全,治理,風險管理,法規遵循,GRC"
2008,"中央大學人力資源管理研究所","工作-家庭衝突、組織支持與員工幸福感之研究","工作家庭衝突,組織支持,幸福感,工作生活平衡"
2010,"東海大學企業管理學系","藍海策略於台灣傳統產業之應用與個案研究","藍海策略,價值創新,策略草圖,傳統產業"
2013,"中山大學行銷傳播管理研究所","社群媒體行銷活動對消費者參與行為影響之研究","社群媒體行銷,消費者參與,Facebook"
2018,"實踐大學財務金融與保險研究所","金融科技(FinTech)對傳統銀行業之衝擊與因應策略","金融科技,FinTech,數位金融,銀行業轉型"
2020,"陽明大學生物醫學資訊研究所","可解釋人工智慧(XAI)於醫療診斷決策支援之研究","可解釋人工智慧,XAI,醫療影像,決策支援系統,深度學習"
2011,"逢甲大學企業管理學系","僕人式領導、部屬信任與組織公民行為之關聯性研究","僕人式領導,領導部屬交換,信任,組織公民行為"
2007,"台灣大學國際企業學系","企業併購後之組織文化整合與綜效實現研究","企業併購,組織文化,文化整合,綜效"
2018,"中原大學企業管理學系","網紅行銷中，網紅特質、粉絲認同與購買意願之研究","網紅行銷,影響者行銷,粉絲認同,購買意願"
2019,"台北大學會計學系","永續報告書揭露品質與企業價值之關聯性","永續報告書,ESG,資訊揭露,企業價值"
2021,"清華大學資訊工程學系","應用聯邦學習於跨機構資料隱私保護之醫療預測模型","聯邦學習,隱私保護,機器學習,醫療資訊"
2014,"中正大學勞工關係學系","組織沈默、心理安全與員工建言行為之研究","組織沈默,心理安全,員工建言,團隊動力"
2016,"政治大學企業管理學系","長壽企業之經營韌性與動態能力研究","經營韌性,動態能力,長壽企業,組織學習"
2020,"台灣大學商學研究所","訂閱制商業模式之顧客持續訂閱意願研究","訂閱制,商業模式,持續訂閱,顧客留存"
2020,"輔仁大學會計學系","會計師事務所之產業專家與審計品質之關聯","產業專家,審計品質,會計師,財報品質"
2022,"交通陽明大學資訊管理與財務金融學系","元宇宙(Metaverse)初期使用者之採用意願與沉浸體驗研究","元宇宙,Metaverse,採用意願,沉浸感,UTAUT2"
2017,"高雄第一科技大學人力資源發展系","員工對企業社會責任之知覺、組織認同與工作投入之關聯","企業社會責任,組織認同,工作投入,人力資源管理"
2019,"香港中文大學會計與金融系","家族企業傳承規劃與永續經營之研究","家族企業,企業傳承,永續經營,公司治理"
2021,"淡江大學企業管理學系","直播電商中，直播主特性、互動性與消費者衝動性購買之研究","直播電商,衝動性購買,互動性,網紅經濟"
2021,"中山大學財務管理學系","氣候變遷風險對企業財務績效之影響：以碳排放密集產業為例","氣候變遷風險,ESG,碳排放,財務績效"
2023,"清華大學科技管理研究所","生成式AI（Generative AI）於內容創作產業之應用與衝擊","生成式AI,大型語言模型,內容創作,AIGC"
2020,"台灣師範大學健康促進與衛生教育學系","零工經濟下，平台工作者之工作自主性、工作不安全感與身心健康之研究","零工經濟,平台工作者,工作自主性,工作不安全感,身心健康"
2022,"陽明交通大學經營管理研究所","敏捷式管理(Agile)導入之成功關鍵因素與組織績效影響之研究","敏捷式管理,Agile,Scrum,專案管理,組織創新"
2022,"雲林科技大學企業管理系","遊戲化(Gamification)行銷對顧客參與度與品牌忠誠度之影響","遊戲化,Gamification,行銷,顧客參與,品牌忠誠度"
2022,"台灣大學經濟學研究所","中央銀行數位貨幣(CBDC)之設計與其對貨幣政策傳導之影響","中央銀行數位貨幣,CBDC,貨幣政策,數位支付"
2023,"台灣大學資訊工程學系","推薦系統中之公平性議題與緩解演算法研究","推薦系統,演算法公平性,機器學習,倫理AI"
2021,"政治大學勞工研究所","遠距工作對員工工作績效與工作生活平衡之影響：以自我效能為調節變項","遠距工作,工作績效,工作生活平衡,自我效能,COVID-19"
2023,"清華大學工業工程與工程管理學系","全球供應鏈重組下之韌性策略研究：以半導體產業為例","供應鏈韌性,供應鏈重組,地緣政治,風險管理,半導體產業"
2023,"實踐大學服裝設計學系","沉浸式體驗(Immersive Experience)於零售業之應用：以虛擬實境(VR)試衣間為例","沉浸式體驗,虛擬實境,VR,零售科技,消費者體驗"
2023,"中興大學財務金融學系","綠色金融、企業碳績效與綠色創新之關聯性研究","綠色金融,綠色創新,碳績效,ESG投資"
2024,"中山大學資訊管理學系","大型語言模型(LLM)於企業知識管理系統之整合與應用","大型語言模型,LLM,知識管理,企業搜尋,生成式AI"
2018,"陽明大學衛生福利研究所","職場健康促進活動、員工健康行為與組織績效之研究","職場健康促進,員工健康,組織績效,健康管理"
2020,"台北科技大學環境工程與管理研究所","循環經濟商業模式之類型與建構途徑研究","循環經濟,商業模式,永續發展,綠色經濟"
2020,"政治大學廣告學系","個人化廣告、隱私顧慮與廣告規避行為之研究","個人化廣告,隱私顧慮,廣告規避,數位行銷倫理"
2018,"交通大學管理科學系","股權募資型群眾募資平台之投資決策因素研究","群眾募資,股權募資,投資決策,訊號理論"
2022,"台灣大學心理學系","企業推動多元、公平與共融（DEI）之實務與挑戰","多元公平共融,DEI,組織文化,人力資源管理"
2021,"中正大學資訊管理學系","資料治理成熟度模型之建構與實證研究","資料治理,資料管理,數據策略,成熟度模型"
2019,"東海大學企業管理學系","從顧客旅程觀點探討全通路(Omni-Channel)零售體驗之整合","全通路,Omni-Channel,顧客旅程,顧客體驗,零售管理"
2017,"元智大學財務金融暨會計碩士班","分析師報告樂觀偏誤與投資人反應之研究","分析師報告,樂觀偏誤,行為財務學,市場效率"
2013,"台灣師範大學工業教育學系","魅力型領導、部屬心理資本與任務績效之關係","魅力型領導,心理資本,任務績效,正向心理學"
2015,"中原大學企業管理學系","競合策略、知識分享與聯盟績效之研究","競合策略,策略聯盟,知識分享,聯盟績效"
2017,"輔仁大學廣告傳播學系","懷舊廣告、懷舊情感與品牌態度之研究","懷舊廣告,懷舊情感,廣告效果,品牌態度"
2015,"長庚大學工商管理學系","管理階層過度自信與企業投資效率之研究","過度自信,行為財務學,投資效率,公司治理"
2018,"中山大學資訊管理學系","聊天機器人(Chatbot)於顧客服務之應用與使用者滿意度研究","聊天機器人,Chatbot,顧客服務,使用者滿意度,人工智慧"
2023,"國立台灣大學商學研究所","ESG表現對企業價值之影響：以永續供應鏈為中介效果","ESG,企業價值,永續供應鏈,公司治理"
202
